Date,Close,Predictions
2023-01-12,136.7100067,163.91748102474784
2023-01-13,136.9799957,165.5775095528215
2023-01-17,135.3600006,165.28920381736017
2023-01-18,133.0200043,165.56639660806823
2023-01-19,136.1499939,164.08616273671035
2023-01-20,139.3699951,164.29122508429592
2023-01-23,143.2700043,165.34622030995897
2023-01-24,143.1399994,167.62916136493354
2023-01-25,141.5,167.84690076535975
2023-01-26,147.3000031,167.40975415864625
2023-01-27,151.7400055,167.90158405804922
2023-01-30,147.0599976,169.23982111122228
2023-01-31,148.9700012,169.63797735500674
2023-02-01,153.1199951,169.3288542914656
2023-02-02,188.7700043,168.97101055722547
2023-02-03,186.5299988,178.21354992392943
2023-02-06,186.0599976,179.74375748075246
2023-02-07,191.6199951,182.5588755105989
2023-02-08,183.4299927,178.94467971921694
2023-02-09,177.9199982,177.542893213699
2023-02-10,174.1499939,176.69979574720767
2023-02-13,179.4299927,174.05434455817434
2023-02-14,179.4799957,175.63054207765435
2023-02-15,177.1600037,176.23436557270458
2023-02-16,172.4400024,176.8538733560341
2023-02-17,172.8800049,174.94174689849925
2023-02-21,172.0800018,174.57484689201848
2023-02-22,171.1199951,174.20091271988522
2023-02-23,172.0399933,174.71442409548257
2023-02-24,170.3899994,174.71892630715942
